Meta.analysis_ID,Meta.analysis_DOI,Meta.analysis_year,Outcome,Outcome_unit,Intervention_type,Control_type,Study_Authors,Study_Year,Study_Title,Study_Journal,Study_Volume_Issue_page,Start_Date,End_date,Study_Latitude,Study_Longitude,Country,Admin_level_1,Admin_level_2,Admin_level_3,Admin_level_4,Study_Duration,Study_Duration_units,Crop_type,Crop_Name,Crop_species,Crop_variety,EffectSize_ReportedType,EffectSize_ReportedValue,EffectSize_LogRatio,LogRatio_Calculated,EffectSize_Percentdiff,Percentdiff_Calculated,EffectSize_Refererence,Climate_bin,Soil_type_bin,Xtreat,Xtreat_units,Sdtreat,Ntreat,Xcontrol,Xcontrol_units,Ncontrol,Sdcontrol,Rep_size,Rep_size_unit,Experimental_setting,Fertilizer_type,Fertilizer_amount,Fertilizer_conc_N,Fertilizer_conc_P,Fertilizer_conc_K,Rotation,Rotation_period,Rotation_Crop_species,Rotation_Crop_Name,Pesticide_Type,Pesticide_Active_Ingredient,Pesticide_Quantity_Applied,Soil_preparation,Weeding_time,Irrigated,Irrigation_quantity,Irrigation_quantity_unit,Seeding_depth,Seeding_depth_units,Seeding_width,Seeding_w_units,Seeding_length,Seeding_length_units,Seeding_rate,Seeding_rate_units,Soil_C_Treamemt,Soil_N_Treatment,Soil_P_Treatment,Soil_Treatment_units,Soil_N,Soil_N_Units,Soil_P,Soil_P_Units,Soil_texture,Soil_sampling_depth,Soil_sampling_depth_units,Intercropping_Design,Intercropping_Type,Focal_Crop_species,Focal_crop_type,Focal_crop_name,Focal_crop_variety,Intercropped_species,Intercrop_type,Intercrop_name,Intercrop_variety,Relative_density_total,Yield_solecrop1,Yield_solecrop2,Yield_intercrop1,Yield_intercrop2,Yield_unit,LER,Space_btwn_rows,Focal_crop_row_width,Intercrop_row_width,Focal_crop_strip_size,Focal_crop.space_btwn_rows,Focal_crop_width,Intercrop_strip_size,Intercrop_space_btwn_rows,Intercrop_width,Space_between_strips,Space_between_rows,Focal_crop_width.1,Intercrop_width2,Intercrop_plant_timing..days.,LongLat_Computed,Calculated_Duration,pH,Intervention_details,Woody_species,Woody_biomass_application,Woody_biomass_unit,Straw_addition,Straw_unit,Rainfall_mm,Soil_C,Fertilizer_amount_Rs,Green_manure_species,Nutrient_type,Crop_seasonal_timing,Fertilizer_reduced_rate,Weeded,Chemical_use,Ncultivars_mix,Cultivar_mix_ratio,Cultivar_names,Cultivar_selection_criteria,Soil_C_Units,Soil_C_Treatment,gens,soilUSDA,Ntreat.new,Ncontrol.new,effect_plot,Intervention_type.new,EffectSize_Percentdiff.new,Study_Duration.new,soils.new,gens.new
1,dx.doi.org/10.1098/rspb.2014.1396,2009,Yield,mg/ha,Organic,Conventional,Cavigelli et al.,1997,Long-term economic performance of organic and conventional field crops in the mid-atlantic region,Renewable Agriculture and Food Systems,"24(2), 102-119",NA,NA,39.03,-76.88,United States,NA,NA,NA,NA,<1,Year,cereals,maize,zea mays,NA,Log Ratio,-0.311587593,-0.311587593,Reported,-26.77165354,Calculated,ln(Treatment Yield/ Control Yield),14,NA,2.79,mg/ha,1.44,4,3.81,mg/ha,4,0.54,NA,NA,farm,mix,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no-till,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,88,kg/ha,65,kg/ha,15,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Calculated,strong acidic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,62,4,4,-0.311587593,Organic,-26.77165354,less than 1 year,USDA Class 62,Warm Temperate and Moist
1,dx.doi.org/10.1098/rspb.2014.1396,2009,Yield,mg/ha,Organic,Conventional,Cavigelli et al.,2001,Long-term economic performance of organic and conventional field crops in the mid-atlantic region,Renewable Agriculture and Food Systems,"24(2), 102-119",NA,NA,39.03,-76.88,United States,NA,NA,NA,NA,<1,Year,cereals,maize,zea mays,NA,Log Ratio,-0.474918915,-0.474918915,Reported,-37.80645161,Calculated,ln(Treatment Yield/ Control Yield),14,NA,4.82,mg/ha,0.55,4,7.75,mg/ha,4,0.51,NA,NA,farm,mix,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no-till,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,88,kg/ha,65,kg/ha,15,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,Calculated,strong acidic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,62,4,4,-0.474918915,Organic,-37.80645161,less than 1 year,USDA Class 62,Warm Temperate and Moist
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Tonnersa, Halland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,-0.030592335,-0.030592335,Reported,-3.012912482,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,2.253333333,mg/ha,0.170098011,191,2.323333333,mg/ha,191,0.133166562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,-0.030592335,Weed suppression intercropping,-3.012912482,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Tonnersa, Halland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,-0.086880956,-0.086880956,Reported,-8.321377318,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,2.13,mg/ha,0.245560583,191,2.323333333,mg/ha,191,0.133166562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,-0.086880956,Weed suppression intercropping,-8.321377318,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Tonnersa, Halland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,-0.042497237,-0.042497237,Reported,-4.160688638,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,2.226666667,mg/ha,0.578388566,191,2.323333333,mg/ha,191,0.133166562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,-0.042497237,Weed suppression intercropping,-4.160688638,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Tonnersa, Halland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,0.048995103,0.048995103,Reported,5.021520819,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,2.44,mg/ha,0.467011777,191,2.323333333,mg/ha,191,0.133166562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,0.048995103,Weed suppression intercropping,5.021520819,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Saby, Uppland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,-0.105892289,-0.105892289,Reported,-10.04784689,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,4.386666667,mg/ha,0.454459386,191,4.876666667,mg/ha,191,0.560380823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,-0.105892289,Weed suppression intercropping,-10.04784689,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Ohlander L,1996,Yield of catch crops and spring barley as affected by time of undersowing,"Acta Agriculturae Scandinavica, Section B., Soil & Plant Science","46, 161-168",NA,NA,62,15,Sweden,"Saby, Uppland, Sweden",NA,NA,NA,NA,NA,cereals,barley,hordeum vulgare,NA,Log Ratio,-0.204017979,-0.204017979,Reported,-18.45522898,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,3.976666667,mg/ha,0.657368491,191,4.876666667,mg/ha,191,0.560380823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,8,89,191,191,-0.204017979,Weed suppression intercropping,-18.45522898,Not reported,USDA Class 89,Cold and Mesic
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,"Enache, AJ",1990,Weed-control by subterranean clover (trifolium-subterraneum) used as a living mulch,Weed Technology,"4(3), 534-538",NA,NA,38,-97,United States,"Adelphia, NJ, USA",NA,NA,NA,NA,NA,cereals,maize,zea mays,NA,Log Ratio,-0.25597242,-0.25597242,Reported,-22.58366801,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,5.783,mg/ha,0.801679368,191,7.47,mg/ha,191,0.801679368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,LM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,12,75,191,191,-0.25597242,Weed suppression intercropping,-22.58366801,Not reported,USDA Class 75,Warm Temperate and Moist
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,"Enache, AJ",1990,Weed-control by subterranean clover (trifolium-subterraneum) used as a living mulch,Weed Technology,"4(3), 534-538",NA,NA,38,-97,United States,"Adelphia, NJ, USA",NA,NA,NA,NA,NA,cereals,maize,zea mays,NA,Log Ratio,0.334300147,0.334300147,Reported,39.69623749,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,4.047,mg/ha,1.055443534,191,2.897,mg/ha,191,1.055443534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,LM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,12,75,191,191,0.334300147,Weed suppression intercropping,39.69623749,Not reported,USDA Class 75,Warm Temperate and Moist
